CSA,indicator,indicator_category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2006 - 2010
Canton,domvioXX,Crime and Safety,31.526390870185445,30.0,23.5,22.0,18.3,15.55,29.957203994293863,13.41,16.119828815977176,33.09557774607703,34.32098765432099,
Cedonia/Frankford,domvioXX,Crime and Safety,52.7602625144769,55.89999999999999,57.9,46.8,42.7,15.55,55.11946124479903,40.71,41.521897653669626,62.84047527130786,60.23687226726663,
Cherry Hill,domvioXX,Crime and Safety,74.24321503131524,94.7,85.9,76.2,61.7,72.42,64.58768267223381,50.36999999999999,66.67536534446764,67.32776617954072,62.91148500365764,
Chinquapin Park/Belvedere,domvioXX,Crime and Safety,35.237978710387864,36.6,35.2,29.100000000000005,33.9,29.12,26.550838125535297,20.92,24.837880827113665,42.94628655328521,39.711191335740075,
Claremont/Armistead,domvioXX,Crime and Safety,83.62202843148967,70.5,72.8,47.7,48.7,51.49,63.074901445466494,44.08,40.13857364711504,59.25218014574125,60.381484631272016,
Clifton-Berea,domvioXX,Crime and Safety,67.78169014084507,79.7,59.099999999999994,42.7,38.7,38.09,46.734955185659416,33.61,62.66005121638925,48.81562099871959,49.726554587806355,
Cross-Country/Cheswolde,domvioXX,Crime and Safety,12.631400474737198,12.0,11.4,8.0,12.4,15.509999999999998,13.903017972193965,5.85,5.510342488979315,20.345879959308242,22.55639097744361,
Dickeyville/Franklintown,domvioXX,Crime and Safety,62.61425959780621,48.0,73.6,60.6,38.2,44.56,45.47531992687386,34.51,36.10603290676417,44.56124314442413,55.35235308461351,
Dorchester/Ashburton,domvioXX,Crime and Safety,41.860465116279066,42.3,47.2,43.3,38.7,38.97,41.45950280673617,27.83,43.86527666399358,56.615878107457895,51.58662820295265,
Downtown/Seton Hill,domvioXX,Crime and Safety,85.37864485001049,67.8,60.8,61.0,72.8,67.97,65.86951961401302,35.24,55.800293685756245,83.07111390811832,91.86622625928985,
Edmondson Village,domvioXX,Crime and Safety,37.29080085364484,38.4,45.4,41.2,39.8,34.82,41.55902504773672,25.379999999999995,44.367067280691906,46.16421430978322,43.417721518987335,
Fells Point,domvioXX,Crime and Safety,39.561209009219276,38.4,32.7,27.0,20.8,20.31,24.273544170848407,14.7,13.770568327692844,41.19500525148792,40.491204779289745,
Forest Park/Walbrook,domvioXX,Crime and Safety,51.17565698478561,46.7,54.29999999999999,44.8,38.2,42.79,47.977178423236516,27.399999999999995,38.208852005532506,42.18533886583679,51.37577419027311,
Glen-Falstaff,domvioXX,Crime and Safety,31.580347051392856,31.3,35.3,29.7,31.1,31.180000000000003,33.30895552157436,17.68,24.665913170666844,47.00485340070474,47.20396942470162,
Greater Charles Village/Barclay,domvioXX,Crime and Safety,40.93055798495714,38.9,32.8,22.0,23.6,24.08,26.354148446154742,15.8,18.1913591044254,39.35630575476649,43.3164541516686,
Greater Govans,domvioXX,Crime and Safety,54.103028734144445,46.5,48.2,40.7,42.8,42.28,39.088791095003884,26.66,38.31219259642764,42.712917421692985,45.033236588334425,
Greater Mondawmin,domvioXX,Crime and Safety,64.79017400204708,64.1,70.3,50.0,44.6,49.03,53.428863868986696,35.31,54.350051177072665,60.388945752302966,62.54022741900879,
Greater Roland Park/Poplar Hill,domvioXX,Crime and Safety,5.682605682605683,8.2,5.8,1.9,3.1,4.44,13.86001386001386,3.19,4.435204435204435,38.53083853083853,32.53355022366816,
Greater Rosemont,domvioXX,Crime and Safety,53.3436942908077,67.7,62.1,55.7,48.2,47.86,49.732595876948395,40.5,58.69177675183983,53.20656397129405,64.33355833636222,
Greenmount East,domvioXX,Crime and Safety,80.87535680304472,78.5,66.2,49.8,47.1,37.28,38.23198685234841,33.56,60.894386298763095,43.33535161318225,49.97358689910195,
Hamilton,domvioXX,Crime and Safety,37.819447741118765,38.1,47.5,32.2,30.8,29.2,35.68320278503046,20.65,24.131655985441885,46.680908299707255,42.455006922012,
Harbor East/Little Italy,domvioXX,Crime and Safety,,,,,,,,,,,74.90290364342519,
Harford/Echodale,domvioXX,Crime and Safety,33.34327467939159,33.5,40.5,34.2,32.3,35.31,42.11154190277364,22.73,27.85565165523412,41.15717268118103,44.064374369024286,
Highlandtown,domvioXX,Crime and Safety,65.30794406426658,39.9,44.2,48.8,36.6,31.39,38.67896459387087,23.65,31.389467420410593,49.24129723296638,46.206896551724135,
Howard Park/West Arlington,domvioXX,Crime and Safety,40.27941576703257,41.6,45.8,39.5,32.5,34.02,36.10632314252019,21.86,31.8425111131271,47.174090537966066,46.2613814034765,
Inner Harbor/Federal Hill,domvioXX,Crime and Safety,27.723418134377038,26.8,19.5,12.9,11.9,14.27,13.04631441617743,8.81,11.007827788649706,28.783431180691448,57.30061349693252,
Jonestown/Oldtown,domvioXX,Crime and Safety,57.05767451423872,55.8,58.599999999999994,43.7,39.5,36.29,51.91734347691991,37.83,63.43168500051404,70.11411534902848,,
Lauraville,domvioXX,Crime and Safety,33.62353647553287,38.7,33.4,24.9,29.7,29.350000000000005,31.14680276193336,18.91,22.891023716601623,42.93005103572501,48.8063228224558,
Loch Raven,domvioXX,Crime and Safety,40.9184197024115,46.8,41.0,33.9,32.6,31.75,39.50743971267317,24.76,29.438173422267834,48.42226782965623,45.130951603422375,
Madison/East End,domvioXX,Crime and Safety,109.64273714861687,87.2,76.0,58.20000000000001,54.1,55.1,55.10135513495352,43.57,73.80445738604547,61.03707022062941,63.23094717902583,
Medfield/Hampden/Woodberry,domvioXX,Crime and Safety,39.107457428068116,51.4,43.1,29.100000000000005,29.7,28.77,33.52906635349383,21.14,24.603640634174987,34.52730475631239,34.161490683229815,
Midtown*,domvioXX,Crime and Safety,37.26877040261154,38.1,34.8,24.8,27.200000000000003,25.03,23.12295973884657,12.45,18.09031556039173,22.986942328618063,25.03328894806924,
Midway/Coldstream,domvioXX,Crime and Safety,71.12140258021833,73.9,69.1,48.9,44.7,46.23,40.68805822031095,30.19,60.94938802514059,44.3268276546477,58.08395677472984,
Morrell Park/Violetville,domvioXX,Crime and Safety,46.08753315649867,48.4,50.1,39.0,37.7,34.15,52.60831122900088,30.06,38.01945181255526,47.41379310344827,59.348505131637665,
Mt. Washington/Coldspring,domvioXX,Crime and Safety,5.628140703517588,9.0,7.200000000000001,6.0,4.8,8.44,22.91457286432161,7.64,5.628140703517588,43.417085427135675,45.27863777089784,
North Baltimore/Guilford/Homeland,domvioXX,Crime and Safety,10.821998817267888,13.3,12.3,6.7,7.5,6.27,9.107037256061503,5.32,5.736250739207569,27.38024837374335,29.08841044434265,
Northwood,domvioXX,Crime and Safety,32.500447253861296,31.7,39.7,28.499999999999996,28.999999999999996,31.069999999999997,29.101317908044606,19.02,28.743514819011274,43.6519768620669,39.17562939373911,
Oldtown/Middle East,domvioXX,Crime and Safety,,,,,,,,,,,63.7299771167048,
Orangeville/East Highlandtown,domvioXX,Crime and Safety,48.687845303867405,63.0,54.6,49.6,55.1,51.34000000000001,43.62338858195212,40.86,43.853591160220994,52.37108655616943,54.32044682948198,
Patterson Park North & East,domvioXX,Crime and Safety,81.53351276833192,73.8,66.2,58.599999999999994,45.4,40.11,46.543688045690274,28.360000000000003,42.34228320094532,46.149806341495434,53.543198845281466,
Penn North/Reservoir Hill,domvioXX,Crime and Safety,67.24337822170695,71.3,63.0,59.3,57.9,45.75,44.05600642111834,32.73,48.2475697850709,43.07500222955498,63.1981795614398,
Perkins/Middle East,domvioXX,Crime and Safety,92.62272850556008,84.9,79.2,56.3,37.2,32.82,32.13995117982099,31.869999999999997,49.091402224030375,39.86981285598047,,
Pimlico/Arlington/Hilltop,domvioXX,Crime and Safety,64.89783918859327,63.4,64.2,50.5,52.1,46.89,45.05365280023519,34.54,47.40555637218874,51.08040570336616,51.11712931618144,
Poppleton/The Terraces/Hollins Market,domvioXX,Crime and Safety,86.12975391498881,78.3,67.7,68.6,62.5,60.589999999999996,47.7255779269202,49.78,62.08053691275167,50.70842654735272,64.49075894612662,
Sandtown-Winchester/Harlem Park,domvioXX,Crime and Safety,72.24921406116033,72.9,75.1,66.1,68.9,62.88,55.95884538439555,53.44,58.702486424692765,57.10202915118605,59.54618689581096,
South Baltimore,domvioXX,Crime and Safety,55.60278864138753,43.4,33.2,19.6,20.1,14.45,17.514028226492094,12.07,17.85410644448223,24.825709913280054,19.44019440194402,
Southeastern,domvioXX,Crime and Safety,81.75919250180246,67.1,83.2,57.8,64.0,57.53,57.534246575342465,43.98,43.691420331651045,55.65969718817592,59.42492012779553,
Southern Park Heights,domvioXX,Crime and Safety,56.4684981917391,63.9,58.8,57.70000000000001,54.89999999999999,48.47,49.29890235391155,35.4,48.53752934458473,46.25341031660428,57.061126166817225,
Southwest Baltimore,domvioXX,Crime and Safety,90.29334605294538,93.1,93.1,68.0,63.0,60.86,52.75459098497496,45.55,65.7762938230384,57.906033865967075,71.95974280123008,
The Waverlies,domvioXX,Crime and Safety,66.65834477593309,52.300000000000004,74.9,56.7,52.300000000000004,44.56,43.31544126825615,32.33,38.072650106104106,56.672075895643495,61.13762414549206,
Upton/Druid Heights*,domvioXX,Crime and Safety,83.91003460207612,83.3,79.5,74.0,61.199999999999996,58.540000000000006,44.79046520569012,38.54,62.57208765859284,53.34486735870819,64.88613529805761,
Washington Village,domvioXX,Crime and Safety,92.6153306437467,96.1,76.7,56.10000000000001,54.0,53.15,41.22083844939484,27.54,44.55358708998421,55.955095597263636,83.04561148464474,
Westport/Mt. Winans/Lakeland,domvioXX,Crime and Safety,71.94338880880619,72.9,64.2,46.3,43.2,39.58,41.41003800288298,29.09,43.24465993971956,48.486436902109816,52.816406798707696,
Baltimore City,domvioXX,Crime and Safety,57.09862797433479,58.70000000000001,54.29999999999999,43.71,41.3,39.92,41.08457193171742,28.92,39.76226351916959,47.84028126569563,50.499145679036204,
Allendale/Irvington/S. Hilton,eattendXX,Education and Youth,,,,,,1251.0,1222.0,1165.0,1108.0,1165.0,1118.0,
Beechfield/Ten Hills/West Hills,eattendXX,Education and Youth,,,,,,674.0,670.0,687.0,645.0,642.0,574.0,
Belair-Edison,eattendXX,Education and Youth,,,,,,1144.0,1182.0,1158.0,1164.0,1302.0,1162.0,
Brooklyn/Curtis Bay/Hawkins Point,eattendXX,Education and Youth,,,,,,1046.0,969.0,993.0,1049.0,1073.0,1011.0,
Canton,eattendXX,Education and Youth,,,,,,126.0,92.0,91.0,77.0,91.0,90.0,
Cedonia/Frankford,eattendXX,Education and Youth,,,,,,1367.0,1320.0,1371.0,1341.0,1371.0,1284.0,
Cherry Hill,eattendXX,Education and Youth,,,,,,944.0,896.0,895.0,896.0,898.0,833.0,
Chinquapin Park/Belvedere,eattendXX,Education and Youth,,,,,,389.0,404.0,404.0,378.0,397.0,381.0,
Claremont/Armistead,eattendXX,Education and Youth,,,,,,524.0,513.0,503.0,472.0,519.0,538.0,
Clifton-Berea,eattendXX,Education and Youth,,,,,,907.0,853.0,830.0,755.0,822.0,879.0,
Cross-Country/Cheswolde,eattendXX,Education and Youth,,,,,,194.0,176.0,193.0,197.0,214.0,194.0,
Dickeyville/Franklintown,eattendXX,Education and Youth,,,,,,270.0,264.0,242.0,226.0,212.0,219.0,
Dorchester/Ashburton,eattendXX,Education and Youth,,,,,,741.0,697.0,701.0,692.0,663.0,578.0,
Downtown/Seton Hill,eattendXX,Education and Youth,,,,,,73.0,81.0,86.0,92.0,89.0,111.0,
Edmondson Village,eattendXX,Education and Youth,,,,,,620.0,633.0,552.0,530.0,526.0,520.0,
Fells Point,eattendXX,Education and Youth,,,,,,195.0,164.0,161.0,147.0,160.0,188.0,
Forest Park/Walbrook,eattendXX,Education and Youth,,,,,,656.0,583.0,580.0,584.0,546.0,551.0,
Glen-Falstaff,eattendXX,Education and Youth,,,,,,663.0,696.0,710.0,662.0,654.0,421.0,
Greater Charles Village/Barclay,eattendXX,Education and Youth,,,,,,496.0,408.0,379.0,366.0,345.0,388.0,
Greater Govans,eattendXX,Education and Youth,,,,,,589.0,567.0,542.0,563.0,621.0,583.0,
Greater Mondawmin,eattendXX,Education and Youth,,,,,,525.0,559.0,531.0,579.0,568.0,584.0,
Greater Roland Park/Poplar Hill,eattendXX,Education and Youth,,,,,,88.0,113.0,153.0,178.0,208.0,182.0,
Greater Rosemont,eattendXX,Education and Youth,,,,,,1567.0,1579.0,1602.0,1567.0,1539.0,1452.0,
Greenmount East,eattendXX,Education and Youth,,,,,,828.0,762.0,674.0,583.0,669.0,584.0,
Hamilton,eattendXX,Education and Youth,,,,,,668.0,703.0,652.0,644.0,682.0,670.0,
Harbor East/Little Italy,eattendXX,Education and Youth,,,,,,,,,,,381.0,
Harford/Echodale,eattendXX,Education and Youth,,,,,,749.0,725.0,742.0,791.0,818.0,805.0,
Highlandtown,eattendXX,Education and Youth,,,,,,256.0,208.0,186.0,187.0,216.0,239.0,
Howard Park/West Arlington,eattendXX,Education and Youth,,,,,,509.0,548.0,568.0,562.0,574.0,492.0,
Inner Harbor/Federal Hill,eattendXX,Education and Youth,,,,,,210.0,178.0,164.0,173.0,182.0,210.0,
Jonestown/Oldtown,eattendXX,Education and Youth,,,,,,686.0,605.0,564.0,614.0,586.0,,
Lauraville,eattendXX,Education and Youth,,,,,,477.0,458.0,416.0,484.0,518.0,560.0,
Loch Raven,eattendXX,Education and Youth,,,,,,1013.0,1015.0,989.0,909.0,931.0,793.0,
Madison/East End,eattendXX,Education and Youth,,,,,,779.0,685.0,662.0,732.0,685.0,915.0,
Medfield/Hampden/Woodberry,eattendXX,Education and Youth,,,,,,653.0,589.0,565.0,541.0,542.0,470.0,
Midtown*,eattendXX,Education and Youth,,,,,,291.0,252.0,255.0,253.0,241.0,245.0,
Midway/Coldstream,eattendXX,Education and Youth,,,,,,615.0,554.0,545.0,753.0,680.0,750.0,
Morrell Park/Violetville,eattendXX,Education and Youth,,,,,,525.0,510.0,448.0,431.0,426.0,429.0,
Mt. Washington/Coldspring,eattendXX,Education and Youth,,,,,,113.0,124.0,129.0,133.0,138.0,137.0,
North Baltimore/Guilford/Homeland,eattendXX,Education and Youth,,,,,,173.0,186.0,195.0,204.0,249.0,262.0,
Northwood,eattendXX,Education and Youth,,,,,,579.0,614.0,615.0,683.0,693.0,643.0,
Oldtown/Middle East,eattendXX,Education and Youth,,,,,,,,,,,738.0,
Orangeville/East Highlandtown,eattendXX,Education and Youth,,,,,,443.0,436.0,431.0,431.0,411.0,448.0,
Patterson Park North & East,eattendXX,Education and Youth,,,,,,1163.0,1032.0,992.0,845.0,831.0,930.0,
Penn North/Reservoir Hill,eattendXX,Education and Youth,,,,,,741.0,588.0,555.0,573.0,518.0,597.0,
Perkins/Middle East,eattendXX,Education and Youth,,,,,,474.0,387.0,368.0,371.0,346.0,,
Pimlico/Arlington/Hilltop,eattendXX,Education and Youth,,,,,,791.0,932.0,964.0,906.0,853.0,821.0,
Poppleton/The Terraces/Hollins Market,eattendXX,Education and Youth,,,,,,457.0,384.0,361.0,381.0,318.0,411.0,
Sandtown-Winchester/Harlem Park,eattendXX,Education and Youth,,,,,,1037.0,890.0,852.0,1125.0,1119.0,1184.0,
South Baltimore,eattendXX,Education and Youth,,,,,,216.0,167.0,156.0,141.0,143.0,132.0,
Southeastern,eattendXX,Education and Youth,,,,,,375.0,382.0,375.0,390.0,376.0,362.0,
Southern Park Heights,eattendXX,Education and Youth,,,,,,1114.0,1085.0,1025.0,880.0,907.0,854.0,
Southwest Baltimore,eattendXX,Education and Youth,,,,,,1651.0,1582.0,1589.0,1621.0,1605.0,1663.0,
The Waverlies,eattendXX,Education and Youth,,,,,,541.0,479.0,461.0,484.0,410.0,465.0,
Upton/Druid Heights*,eattendXX,Education and Youth,,,,,,623.0,588.0,558.0,794.0,761.0,911.0,
Washington Village,eattendXX,Education and Youth,,,,,,406.0,341.0,299.0,321.0,279.0,294.0,
Westport/Mt. Winans/Lakeland,eattendXX,Education and Youth,,,,,,719.0,604.0,579.0,589.0,556.0,499.0,
Baltimore City,eattendXX,Education and Youth,,,,,,35847.0,33974.0,33166.0,33500.0,33626.0,32735.0,
Allendale/Irvington/S. Hilton,mattendXX,Education and Youth,,,,,,854.0,840.0,784.0,692.0,668.0,747.0,
Beechfield/Ten Hills/West Hills,mattendXX,Education and Youth,,,,,,410.0,408.0,414.0,384.0,369.0,349.0,
Belair-Edison,mattendXX,Education and Youth,,,,,,880.0,840.0,741.0,772.0,717.0,831.0,
Brooklyn/Curtis Bay/Hawkins Point,mattendXX,Education and Youth,,,,,,543.0,565.0,574.0,569.0,506.0,525.0,
Canton,mattendXX,Education and Youth,,,,,,69.0,53.0,48.0,40.0,34.0,32.0,
Cedonia/Frankford,mattendXX,Education and Youth,,,,,,968.0,956.0,905.0,861.0,763.0,729.0,
Cherry Hill,mattendXX,Education and Youth,,,,,,575.0,565.0,506.0,473.0,440.0,412.0,
Chinquapin Park/Belvedere,mattendXX,Education and Youth,,,,,,274.0,264.0,246.0,217.0,201.0,228.0,
Claremont/Armistead,mattendXX,Education and Youth,,,,,,304.0,322.0,283.0,273.0,268.0,267.0,
Clifton-Berea,mattendXX,Education and Youth,,,,,,655.0,599.0,567.0,531.0,538.0,523.0,
Cross-Country/Cheswolde,mattendXX,Education and Youth,,,,,,108.0,102.0,104.0,113.0,105.0,108.0,
Dickeyville/Franklintown,mattendXX,Education and Youth,,,,,,177.0,170.0,175.0,151.0,147.0,124.0,
Dorchester/Ashburton,mattendXX,Education and Youth,,,,,,524.0,483.0,451.0,458.0,393.0,404.0,
Downtown/Seton Hill,mattendXX,Education and Youth,,,,,,82.0,73.0,56.0,45.0,45.0,45.0,
Edmondson Village,mattendXX,Education and Youth,,,,,,489.0,484.0,453.0,395.0,353.0,325.0,
Fells Point,mattendXX,Education and Youth,,,,,,118.0,106.0,90.0,82.0,67.0,59.0,
Forest Park/Walbrook,mattendXX,Education and Youth,,,,,,431.0,389.0,373.0,377.0,330.0,369.0,
Glen-Falstaff,mattendXX,Education and Youth,,,,,,403.0,389.0,361.0,345.0,379.0,306.0,
Greater Charles Village/Barclay,mattendXX,Education and Youth,,,,,,288.0,257.0,213.0,178.0,206.0,214.0,
Greater Govans,mattendXX,Education and Youth,,,,,,515.0,513.0,446.0,426.0,379.0,381.0,
Greater Mondawmin,mattendXX,Education and Youth,,,,,,414.0,411.0,382.0,330.0,318.0,352.0,
Greater Roland Park/Poplar Hill,mattendXX,Education and Youth,,,,,,42.0,36.0,32.0,53.0,63.0,83.0,
Greater Rosemont,mattendXX,Education and Youth,,,,,,1022.0,956.0,863.0,816.0,773.0,788.0,
Greenmount East,mattendXX,Education and Youth,,,,,,540.0,479.0,465.0,418.0,348.0,438.0,
Hamilton,mattendXX,Education and Youth,,,,,,481.0,502.0,488.0,442.0,415.0,427.0,
Harbor East/Little Italy,mattendXX,Education and Youth,,,,,,,,,,,155.0,
Harford/Echodale,mattendXX,Education and Youth,,,,,,565.0,506.0,476.0,457.0,454.0,493.0,
Highlandtown,mattendXX,Education and Youth,,,,,,169.0,157.0,126.0,105.0,108.0,109.0,
Howard Park/West Arlington,mattendXX,Education and Youth,,,,,,384.0,363.0,306.0,271.0,264.0,314.0,
Inner Harbor/Federal Hill,mattendXX,Education and Youth,,,,,,130.0,110.0,95.0,96.0,87.0,92.0,
Jonestown/Oldtown,mattendXX,Education and Youth,,,,,,370.0,370.0,374.0,366.0,284.0,,
Lauraville,mattendXX,Education and Youth,,,,,,400.0,382.0,330.0,297.0,301.0,364.0,
Loch Raven,mattendXX,Education and Youth,,,,,,641.0,605.0,538.0,510.0,465.0,549.0,
Madison/East End,mattendXX,Education and Youth,,,,,,581.0,502.0,515.0,465.0,423.0,594.0,
Medfield/Hampden/Woodberry,mattendXX,Education and Youth,,,,,,354.0,353.0,311.0,238.0,288.0,252.0,
Midtown*,mattendXX,Education and Youth,,,,,,178.0,152.0,144.0,137.0,137.0,107.0,
Midway/Coldstream,mattendXX,Education and Youth,,,,,,599.0,511.0,490.0,483.0,389.0,460.0,
Morrell Park/Violetville,mattendXX,Education and Youth,,,,,,294.0,271.0,252.0,255.0,260.0,252.0,
Mt. Washington/Coldspring,mattendXX,Education and Youth,,,,,,47.0,45.0,55.0,64.0,75.0,82.0,
North Baltimore/Guilford/Homeland,mattendXX,Education and Youth,,,,,,115.0,102.0,101.0,87.0,95.0,88.0,
Northwood,mattendXX,Education and Youth,,,,,,467.0,473.0,451.0,393.0,380.0,448.0,
Oldtown/Middle East,mattendXX,Education and Youth,,,,,,,,,,,322.0,
Orangeville/East Highlandtown,mattendXX,Education and Youth,,,,,,253.0,253.0,251.0,208.0,246.0,262.0,
Patterson Park North & East,mattendXX,Education and Youth,,,,,,769.0,661.0,591.0,507.0,464.0,506.0,
Penn North/Reservoir Hill,mattendXX,Education and Youth,,,,,,517.0,445.0,411.0,407.0,347.0,338.0,
Perkins/Middle East,mattendXX,Education and Youth,,,,,,356.0,286.0,248.0,208.0,163.0,,
Pimlico/Arlington/Hilltop,mattendXX,Education and Youth,,,,,,651.0,641.0,586.0,505.0,467.0,465.0,
Poppleton/The Terraces/Hollins Market,mattendXX,Education and Youth,,,,,,263.0,251.0,254.0,199.0,236.0,236.0,
Sandtown-Winchester/Harlem Park,mattendXX,Education and Youth,,,,,,843.0,747.0,725.0,641.0,610.0,617.0,
South Baltimore,mattendXX,Education and Youth,,,,,,132.0,126.0,97.0,83.0,64.0,55.0,
Southeastern,mattendXX,Education and Youth,,,,,,246.0,238.0,199.0,156.0,178.0,192.0,
Southern Park Heights,mattendXX,Education and Youth,,,,,,832.0,774.0,706.0,550.0,485.0,482.0,
Southwest Baltimore,mattendXX,Education and Youth,,,,,,1021.0,901.0,873.0,774.0,773.0,813.0,
The Waverlies,mattendXX,Education and Youth,,,,,,393.0,395.0,359.0,304.0,304.0,284.0,
Upton/Druid Heights*,mattendXX,Education and Youth,,,,,,518.0,472.0,464.0,468.0,439.0,309.0,
Washington Village,mattendXX,Education and Youth,,,,,,271.0,231.0,202.0,159.0,160.0,172.0,
Westport/Mt. Winans/Lakeland,mattendXX,Education and Youth,,,,,,442.0,391.0,342.0,370.0,310.0,300.0,
Baltimore City,mattendXX,Education and Youth,,,,,,24318.0,22821.0,21202.0,19480.0,18440.0,18778.0,
Allendale/Irvington/S. Hilton,hsattendXX,Education and Youth,,,,,,929.0,938.0,950.0,922.0,983.0,1064.0,
Beechfield/Ten Hills/West Hills,hsattendXX,Education and Youth,,,,,,558.0,570.0,549.0,516.0,490.0,511.0,
Belair-Edison,hsattendXX,Education and Youth,,,,,,1100.0,1146.0,1202.0,1086.0,1119.0,1219.0,
Brooklyn/Curtis Bay/Hawkins Point,hsattendXX,Education and Youth,,,,,,433.0,415.0,391.0,406.0,451.0,615.0,
Canton,hsattendXX,Education and Youth,,,,,,56.0,51.0,49.0,40.0,48.0,49.0,
Cedonia/Frankford,hsattendXX,Education and Youth,,,,,,1115.0,1184.0,1260.0,1246.0,1283.0,1477.0,
Cherry Hill,hsattendXX,Education and Youth,,,,,,528.0,533.0,558.0,563.0,540.0,584.0,
Chinquapin Park/Belvedere,hsattendXX,Education and Youth,,,,,,362.0,347.0,340.0,342.0,336.0,351.0,
Claremont/Armistead,hsattendXX,Education and Youth,,,,,,302.0,307.0,309.0,270.0,277.0,343.0,
Clifton-Berea,hsattendXX,Education and Youth,,,,,,675.0,667.0,683.0,683.0,701.0,784.0,
Cross-Country/Cheswolde,hsattendXX,Education and Youth,,,,,,141.0,120.0,111.0,111.0,106.0,124.0,
Dickeyville/Franklintown,hsattendXX,Education and Youth,,,,,,171.0,149.0,150.0,140.0,156.0,183.0,
Dorchester/Ashburton,hsattendXX,Education and Youth,,,,,,684.0,677.0,699.0,693.0,678.0,732.0,
Downtown/Seton Hill,hsattendXX,Education and Youth,,,,,,68.0,94.0,86.0,70.0,62.0,80.0,
Edmondson Village,hsattendXX,Education and Youth,,,,,,609.0,580.0,567.0,555.0,547.0,614.0,
Fells Point,hsattendXX,Education and Youth,,,,,,97.0,85.0,87.0,89.0,91.0,100.0,
Forest Park/Walbrook,hsattendXX,Education and Youth,,,,,,598.0,612.0,574.0,565.0,576.0,603.0,
Glen-Falstaff,hsattendXX,Education and Youth,,,,,,544.0,534.0,529.0,527.0,493.0,506.0,
Greater Charles Village/Barclay,hsattendXX,Education and Youth,,,,,,300.0,318.0,288.0,258.0,258.0,283.0,
Greater Govans,hsattendXX,Education and Youth,,,,,,659.0,694.0,667.0,664.0,660.0,684.0,
Greater Mondawmin,hsattendXX,Education and Youth,,,,,,547.0,553.0,540.0,569.0,545.0,592.0,
Greater Roland Park/Poplar Hill,hsattendXX,Education and Youth,,,,,,39.0,44.0,40.0,58.0,64.0,54.0,
Greater Rosemont,hsattendXX,Education and Youth,,,,,,1329.0,1345.0,1334.0,1292.0,1263.0,1343.0,
Greenmount East,hsattendXX,Education and Youth,,,,,,617.0,598.0,564.0,540.0,558.0,627.0,
Hamilton,hsattendXX,Education and Youth,,,,,,570.0,589.0,625.0,539.0,573.0,638.0,
Harbor East/Little Italy,hsattendXX,Education and Youth,,,,,,,,,,,206.0,
Harford/Echodale,hsattendXX,Education and Youth,,,,,,599.0,651.0,637.0,609.0,626.0,679.0,
Highlandtown,hsattendXX,Education and Youth,,,,,,153.0,142.0,134.0,113.0,114.0,133.0,
Howard Park/West Arlington,hsattendXX,Education and Youth,,,,,,570.0,559.0,549.0,521.0,541.0,519.0,
Inner Harbor/Federal Hill,hsattendXX,Education and Youth,,,,,,125.0,134.0,132.0,112.0,114.0,127.0,
Jonestown/Oldtown,hsattendXX,Education and Youth,,,,,,405.0,393.0,392.0,366.0,428.0,,
Lauraville,hsattendXX,Education and Youth,,,,,,519.0,558.0,565.0,560.0,533.0,647.0,
Loch Raven,hsattendXX,Education and Youth,,,,,,728.0,784.0,829.0,794.0,773.0,758.0,
Madison/East End,hsattendXX,Education and Youth,,,,,,556.0,537.0,550.0,578.0,570.0,717.0,
Medfield/Hampden/Woodberry,hsattendXX,Education and Youth,,,,,,358.0,336.0,346.0,341.0,323.0,364.0,
Midtown*,hsattendXX,Education and Youth,,,,,,175.0,162.0,156.0,151.0,160.0,166.0,
Midway/Coldstream,hsattendXX,Education and Youth,,,,,,687.0,692.0,690.0,666.0,662.0,709.0,
Morrell Park/Violetville,hsattendXX,Education and Youth,,,,,,207.0,203.0,189.0,151.0,159.0,208.0,
Mt. Washington/Coldspring,hsattendXX,Education and Youth,,,,,,88.0,82.0,84.0,71.0,58.0,58.0,
North Baltimore/Guilford/Homeland,hsattendXX,Education and Youth,,,,,,128.0,127.0,140.0,123.0,122.0,120.0,
Northwood,hsattendXX,Education and Youth,,,,,,646.0,673.0,694.0,689.0,668.0,753.0,
Oldtown/Middle East,hsattendXX,Education and Youth,,,,,,,,,,,585.0,
Orangeville/East Highlandtown,hsattendXX,Education and Youth,,,,,,262.0,259.0,234.0,248.0,239.0,287.0,
Patterson Park North & East,hsattendXX,Education and Youth,,,,,,773.0,705.0,705.0,623.0,605.0,647.0,
Penn North/Reservoir Hill,hsattendXX,Education and Youth,,,,,,512.0,530.0,517.0,521.0,534.0,601.0,
Perkins/Middle East,hsattendXX,Education and Youth,,,,,,335.0,300.0,276.0,256.0,252.0,,
Pimlico/Arlington/Hilltop,hsattendXX,Education and Youth,,,,,,726.0,754.0,725.0,736.0,680.0,714.0,
Poppleton/The Terraces/Hollins Market,hsattendXX,Education and Youth,,,,,,310.0,280.0,281.0,257.0,260.0,299.0,
Sandtown-Winchester/Harlem Park,hsattendXX,Education and Youth,,,,,,1006.0,1002.0,988.0,933.0,952.0,1105.0,
South Baltimore,hsattendXX,Education and Youth,,,,,,114.0,96.0,98.0,85.0,84.0,76.0,
Southeastern,hsattendXX,Education and Youth,,,,,,233.0,220.0,208.0,209.0,218.0,239.0,
